order_number;arrival;start;end;queue_time;preperation_time;stall;order
22;11:13:58;11:17:26;11:18:10;00:03:28;00:00:44;kebab2;beer/durum/mayo/
23;11:15:14;11:18:10;11:19:23;00:02:56;00:01:13;kebab2;beer/turkish_coffee/
24;11:15:53;11:19:27;11:19:55;00:03:34;00:00:28;kebab2;beer/turkish_coffee/kebab_vegi/durum/mayo/
25;11:19:27;11:22:17;11:25:27;00:02:50;00:03:10;kebab2;beer/still_water/durum/extra_fries/garlic_sauce/
26;11:22:17;11:22:28;11:24:15;00:00:11;00:01:47;kebab2;beer/still_water/kebab/extra_fries/ketchup/
27;11:22:28;11:24:15;11:25:17;00:01:47;00:01:02;kebab2;beer/kebab/durum/
28;11:23:16;11:25:17;11:26:11;00:02:01;00:00:54;kebab2;beer/kebab/durum/extra_fries/garlic_sauce/
29;11:23:34;11:25:27;11:26:44;00:01:53;00:01:17;kebab2;beer/still_water/
30;11:23:39;11:26:11;11:28:42;00:02:32;00:02:31;kebab2;beer/still_water/kebab/garlic_sauce/
31;11:25:25;11:27:20;11:29:17;00:01:55;00:01:57;kebab2;beer/coke/sparkling_water/
32;11:27:20;11:29:15;11:29:54;00:01:55;00:00:39;kebab2;beer/coke/still_water/kebab/extra_fries/ketchup/
33;11:29:15;11:29:26;11:31:00;00:00:11;00:01:34;kebab2;beer/
34;11:29:26;11:31:18;11:33:52;00:01:52;00:02:34;kebab2;beer/kebab/
35;11:31:18;11:31:23;11:32:48;00:00:05;00:01:25;kebab2;beer/sparkling_water/kebab/extra_fries/garlic_sauce/
36;11:31:23;11:32:48;11:34:56;00:01:25;00:02:08;kebab2;beer/kebab/kebab_vegi/durum/extra_fries/garlic_sauce/
37;11:31:56;11:33:52;11:34:25;00:01:56;00:00:33;kebab2;beer/coke/still_water/turkish_coffee/
38;11:32:46;11:34:25;11:36:26;00:01:39;00:02:01;kebab2;beer/kebab/ketchup/
39;11:33:25;11:34:56;11:36:50;00:01:31;00:01:54;kebab2;beer/kebab/durum/
40;11:34:36;11:36:26;11:37:09;00:01:50;00:00:43;kebab2;beer/coke/sparkling_water/
41;11:34:44;11:36:50;11:37:27;00:02:06;00:00:37;kebab2;beer/coke/
42;11:36:31;11:37:09;11:37:18;00:00:38;00:00:09;kebab2;beer/
43;11:36:38;11:39:35;11:41:04;00:02:57;00:01:29;kebab2;beer/turkish_coffee/kebab/durum/garlic_sauce/
44;11:39:35;11:40:05;11:42:55;00:00:30;00:02:50;kebab2;beer/kebab/durum/extra_fries/ketchup/mayo/
45;11:40:05;11:41:04;11:41:41;00:00:59;00:00:37;kebab2;beer/turkish_coffee/kebab/kebab_vegi/extra_fries/
46;11:40:49;11:41:41;11:42:40;00:00:52;00:00:59;kebab2;beer/still_water/
47;11:41:33;11:42:40;11:44:24;00:01:07;00:01:44;kebab2;beer/kebab/extra_fries/ketchup/mayo/
48;11:42:04;11:42:55;11:43:34;00:00:51;00:00:39;kebab2;beer/kebab/durum/extra_fries/
49;11:42:20;11:43:34;11:44:16;00:01:14;00:00:42;kebab2;beer/kebab/
50;11:42:21;11:44:16;11:45:32;00:01:55;00:01:16;kebab2;beer/coke/kebab/kebab_vegi/durum/mayo/
51;11:42:33;11:44:24;11:45:19;00:01:51;00:00:55;kebab2;beer/kebab/extra_fries/ketchup/
52;11:43:43;11:45:19;11:46:01;00:01:36;00:00:42;kebab2;beer/coke/still_water/sparkling_water/
53;11:44:16;11:45:32;11:45:56;00:01:16;00:00:24;kebab2;beer/
54;11:44:24;11:45:56;11:47:04;00:01:32;00:01:08;kebab2;beer/still_water/turkish_coffee/kebab/ketchup/
55;11:44:35;11:46:01;11:49:50;00:01:26;00:03:49;kebab2;coke/still_water/kebab/extra_fries/garlic_sauce/
56;11:45:41;11:47:04;11:49:21;00:01:23;00:02:17;kebab2;beer/kebab/kebab_vegi/extra_fries/garlic_sauce/
57;11:45:57;11:49:21;11:51:45;00:03:24;00:02:24;kebab2;beer/kebab/garlic_sauce/
58;11:45:59;11:49:50;11:51:21;00:03:51;00:01:31;kebab2;beer/coke/kebab/
59;11:46:14;11:51:21;11:52:34;00:05:07;00:01:13;kebab2;beer/coke/still_water/
60;11:47:01;11:51:45;11:53:26;00:04:44;00:01:41;kebab2;beer/turkish_coffee/
61;11:47:13;11:52:34;11:53:40;00:05:21;00:01:06;kebab2;beer/durum/garlic_sauce/
62;11:47:18;11:53:26;11:54:25;00:06:08;00:00:59;kebab2;beer/still_water/kebab_vegi/garlic_sauce/
63;11:48:13;11:53:40;11:54:25;00:05:27;00:00:45;kebab2;coke/kebab/extra_fries/garlic_sauce/
64;11:48:15;11:54:25;11:55:47;00:06:10;00:01:22;kebab2;beer/coke/
65;11:48:56;11:54:25;11:58:37;00:05:29;00:04:12;kebab2;beer/turkish_coffee/
66;11:49:46;11:55:47;11:57:22;00:06:01;00:01:35;kebab2;beer/turkish_coffee/
67;11:49:54;11:57:22;11:59:06;00:07:28;00:01:44;kebab2;beer/kebab/durum/
68;11:51:09;11:58:37;12:00:02;00:07:28;00:01:25;kebab2;beer/kebab/kebab_vegi/mayo/
69;11:51:40;11:59:06;11:59:49;00:07:26;00:00:43;kebab2;beer/coke/turkish_coffee/
70;11:51:44;11:59:49;12:01:47;00:08:05;00:01:58;kebab2;turkish_coffee/kebab/kebab_vegi/durum/ketchup/
71;11:52:04;12:00:02;12:00:26;00:07:58;00:00:24;kebab2;turkish_coffee/kebab/kebab_vegi/extra_fries/
72;11:52:44;12:00:26;12:02:06;00:07:42;00:01:40;kebab2;beer/
73;11:52:48;12:01:47;12:02:24;00:08:59;00:00:37;kebab2;beer/sparkling_water/kebab/extra_fries/garlic_sauce/
74;11:54:33;12:02:06;12:02:56;00:07:33;00:00:50;kebab2;beer/coke/still_water/kebab/mayo/
75;11:54:43;12:02:24;12:04:20;00:07:41;00:01:56;kebab2;beer/turkish_coffee/ketchup/mayo/
76;11:55:13;12:02:56;12:04:55;00:07:43;00:01:59;kebab2;beer/
77;11:55:21;12:04:20;12:06:12;00:08:59;00:01:52;kebab2;beer/coke/still_water/sparkling_water/
78;11:55:23;12:04:55;12:07:24;00:09:32;00:02:29;kebab2;beer/coke/turkish_coffee/kebab/durum/mayo/
79;11:57:13;12:06:12;12:08:09;00:08:59;00:01:57;kebab2;beer/coke/kebab/garlic_sauce/
80;11:57:29;12:07:24;12:08:00;00:09:55;00:00:36;kebab2;beer/sparkling_water/
81;11:57:40;12:08:00;12:09:51;00:10:20;00:01:51;kebab2;coke/
82;11:57:42;12:08:09;12:11:14;00:10:27;00:03:05;kebab2;beer/kebab/kebab_vegi/durum/extra_fries/ketchup/mayo/
83;11:58:40;12:09:51;12:12:00;00:11:11;00:02:09;kebab2;beer/
84;11:58:58;12:11:14;12:12:44;00:12:16;00:01:30;kebab2;beer/
85;11:59:45;12:12:00;12:12:56;00:12:15;00:00:56;kebab2;turkish_coffee/kebab/ketchup/
86;11:59:55;12:12:44;12:13:52;00:12:49;00:01:08;kebab2;beer/coke/kebab/kebab_vegi/extra_fries/mayo/
87;12:00:06;12:12:56;12:16:27;00:12:50;00:03:31;kebab2;beer/kebab/extra_fries/garlic_sauce/
88;12:00:45;12:13:52;12:16:12;00:13:07;00:02:20;kebab2;beer/kebab/kebab_vegi/
89;12:02:48;12:16:12;12:17:23;00:13:24;00:01:11;kebab2;beer/coke/sparkling_water/extra_fries/mayo/
90;12:03:36;12:16:27;12:17:25;00:12:51;00:00:58;kebab2;beer/turkish_coffee/kebab_vegi/durum/ketchup/mayo/
91;12:03:39;12:17:23;12:19:27;00:13:44;00:02:04;kebab2;beer/
92;12:04:03;12:17:25;12:19:18;00:13:22;00:01:53;kebab2;beer/coke/still_water/
93;12:05:59;12:19:18;12:23:08;00:13:19;00:03:50;kebab2;beer/extra_fries/ketchup/mayo/
94;12:06:31;12:19:27;12:21:15;00:12:56;00:01:48;kebab2;coke/still_water/extra_fries/mayo/
95;12:08:38;12:21:15;12:23:07;00:12:37;00:01:52;kebab2;beer/kebab/kebab_vegi/
96;12:08:51;12:23:07;12:23:32;00:14:16;00:00:25;kebab2;beer/coke/extra_fries/
97;12:09:49;12:23:08;12:25:30;00:13:19;00:02:22;kebab2;beer/coke/garlic_sauce/
98;12:10:39;12:23:32;12:25:01;00:12:53;00:01:29;kebab2;beer/kebab/extra_fries/garlic_sauce/
99;12:12:24;12:25:01;12:25:30;00:12:37;00:00:29;kebab2;beer/
100;12:14:17;12:25:30;12:26:32;00:11:13;00:01:02;kebab2;beer/kebab/durum/
101;12:16:55;12:25:30;12:27:17;00:08:35;00:01:47;kebab2;beer/kebab/mayo/
102;12:17:00;12:26:32;12:28:53;00:09:32;00:02:21;kebab2;beer/
103;12:17:11;12:27:17;12:28:42;00:10:06;00:01:25;kebab2;beer/kebab/
104;12:18:09;12:28:42;12:29:49;00:10:33;00:01:07;kebab2;beer/durum/ketchup/
105;12:20:47;12:28:53;12:30:49;00:08:06;00:01:56;kebab2;beer/turkish_coffee/
106;12:21:31;12:29:49;12:32:08;00:08:18;00:02:19;kebab2;beer/still_water/
107;12:22:53;12:30:49;12:32:31;00:07:56;00:01:42;kebab2;beer/kebab/kebab_vegi/durum/ketchup/mayo/
108;12:23:46;12:32:08;12:35:52;00:08:22;00:03:44;kebab2;beer/
109;12:23:50;12:32:31;12:34:55;00:08:41;00:02:24;kebab2;beer/kebab/kebab_vegi/durum/
110;12:24:00;12:34:55;12:38:05;00:10:55;00:03:10;kebab2;still_water/kebab/garlic_sauce/
111;12:24:24;12:35:52;12:38:40;00:11:28;00:02:48;kebab2;beer/kebab/durum/extra_fries/mayo/
112;12:25:39;12:38:05;12:39:21;00:12:26;00:01:16;kebab2;still_water/kebab_vegi/durum/extra_fries/ketchup/
113;12:29:33;12:38:40;12:41:24;00:09:07;00:02:44;kebab2;still_water/kebab/kebab_vegi/durum/mayo/
114;12:29:56;12:39:21;12:40:27;00:09:25;00:01:06;kebab2;beer/
115;12:29:58;12:40:27;12:41:46;00:10:29;00:01:19;kebab2;still_water/
116;12:30:25;12:43:28;12:44:17;00:13:03;00:00:49;kebab2;beer/turkish_coffee/kebab/
117;12:43:28;12:48:56;12:50:51;00:05:28;00:01:55;kebab2;beer/still_water/
118;12:48:56;12:53:36;12:54:07;00:04:40;00:00:31;kebab2;beer/still_water/turkish_coffee/extra_fries/mayo/
119;12:53:36;12:55:40;12:57:38;00:02:04;00:01:58;kebab2;beer/
120;12:55:40;12:58:28;13:00:30;00:02:48;00:02:02;kebab2;beer/
121;12:58:28;13:02:25;13:04:35;00:03:57;00:02:10;kebab2;beer/still_water/extra_fries/mayo/
122;13:02:25;13:03:48;13:06:10;00:01:23;00:02:22;kebab2;beer/coke/still_water/kebab/kebab_vegi/
123;13:03:48;13:05:36;13:06:11;00:01:48;00:00:35;kebab2;beer/still_water/kebab/
124;13:05:36;13:06:10;13:09:23;00:00:34;00:03:13;kebab2;beer/kebab/extra_fries/ketchup/mayo/
125;13:06:01;13:08:04;13:09:24;00:02:03;00:01:20;kebab2;beer/kebab/garlic_sauce/
126;13:08:04;13:09:23;13:10:20;00:01:19;00:00:57;kebab2;beer/coke/kebab/kebab_vegi/ketchup/
127;13:09:07;13:10:25;13:11:28;00:01:18;00:01:03;kebab2;beer/still_water/kebab/durum/
128;13:10:25;13:12:00;13:14:41;00:01:35;00:02:41;kebab2;beer/coke/
129;13:12:00;13:12:08;13:14:21;00:00:08;00:02:13;kebab2;beer/kebab/garlic_sauce/
130;13:12:08;13:14:21;13:15:07;00:02:13;00:00:46;kebab2;beer/kebab/durum/extra_fries/mayo/
131;13:12:51;13:15:06;13:16:54;00:02:15;00:01:48;kebab2;beer/coke/
132;13:15:06;13:16:53;13:17:15;00:01:47;00:00:22;kebab2;beer/still_water/turkish_coffee/kebab/extra_fries/mayo/
133;13:16:53;13:17:34;13:19:44;00:00:41;00:02:10;kebab2;beer/coke/still_water/
134;13:17:34;13:17:35;13:19:01;00:00:01;00:01:26;kebab2;beer/
135;13:17:35;13:19:01;13:20:57;00:01:26;00:01:56;kebab2;still_water/
136;13:18:36;13:20:35;13:20:53;00:01:59;00:00:18;kebab2;beer/coke/kebab/kebab_vegi/extra_fries/garlic_sauce/
137;13:20:35;13:21:33;13:22:32;00:00:58;00:00:59;kebab2;beer/kebab/durum/extra_fries/ketchup/mayo/
138;13:21:33;13:25:15;13:26:06;00:03:42;00:00:51;kebab2;beer/coke/
139;13:25:15;13:27:19;13:27:49;00:02:04;00:00:30;kebab2;coke/still_water/
140;13:27:19;13:31:03;13:33:24;00:03:44;00:02:21;kebab2;beer/
141;13:31:03;13:33:15;13:35:17;00:02:12;00:02:02;kebab2;beer/kebab/durum/garlic_sauce/
142;13:33:15;13:40:08;13:41:25;00:06:53;00:01:17;kebab2;beer/kebab/
143;13:40:08;13:43:08;13:45:15;00:03:00;00:02:07;kebab2;beer/coke/still_water/kebab/kebab_vegi/
144;13:43:08;13:51:55;13:54:06;00:08:47;00:02:11;kebab2;beer/turkish_coffee/kebab/kebab_vegi/ketchup/
145;13:51:55;13:56:03;13:58:19;00:04:08;00:02:16;kebab2;beer/kebab/durum/extra_fries/garlic_sauce/
146;13:56:03;13:57:35;14:00:18;00:01:32;00:02:43;kebab2;beer/kebab_vegi/durum/extra_fries/
147;13:57:35;14:00:30;14:02:29;00:02:55;00:01:59;kebab2;beer/
148;14:00:30;14:02:34;14:02:59;00:02:04;00:00:25;kebab2;beer/kebab/durum/extra_fries/
149;14:02:34;14:03:48;14:03:57;00:01:14;00:00:09;kebab2;beer/kebab/durum/extra_fries/
150;14:03:48;14:05:42;14:07:11;00:01:54;00:01:29;kebab2;beer/still_water/durum/extra_fries/ketchup/mayo/
151;14:05:42;14:06:30;14:07:04;00:00:48;00:00:34;kebab2;beer/coke/kebab/kebab_vegi/durum/extra_fries/ketchup/mayo/
152;14:06:30;14:08:26;14:12:00;00:01:56;00:03:34;kebab2;beer/kebab/garlic_sauce/
153;14:08:26;14:10:53;14:13:08;00:02:27;00:02:15;kebab2;beer/kebab/
154;14:10:53;14:12:00;14:14:14;00:01:07;00:02:14;kebab2;beer/coke/kebab/
155;14:11:50;14:13:08;14:14:50;00:01:18;00:01:42;kebab2;coke/
156;14:12:38;14:18:57;14:19:47;00:06:19;00:00:50;kebab2;beer/kebab/durum/extra_fries/mayo/
157;14:18:57;14:20:44;14:22:43;00:01:47;00:01:59;kebab2;beer/coke/turkish_coffee/kebab/durum/garlic_sauce/
158;14:20:44;14:21:56;14:22:43;00:01:12;00:00:47;kebab2;beer/
159;14:21:56;14:22:43;14:24:31;00:00:47;00:01:48;kebab2;beer/kebab/durum/mayo/
160;14:22:24;14:22:43;14:23:43;00:00:19;00:01:00;kebab2;beer/kebab/
161;14:22:30;14:25:44;14:27:33;00:03:14;00:01:49;kebab2;coke/durum/extra_fries/
162;14:25:44;14:25:54;14:26:42;00:00:10;00:00:48;kebab2;beer/kebab/durum/extra_fries/mayo/
163;14:25:54;14:26:42;14:28:13;00:00:48;00:01:31;kebab2;beer/still_water/sparkling_water/
164;14:25:58;14:27:33;14:30:23;00:01:35;00:02:50;kebab2;coke/
165;14:26:12;14:28:13;14:32:14;00:02:01;00:04:01;kebab2;beer/kebab/extra_fries/
166;14:26:56;14:30:23;14:31:12;00:03:27;00:00:49;kebab2;coke/still_water/kebab/durum/garlic_sauce/
167;14:27:09;14:31:12;14:32:14;00:04:03;00:01:02;kebab2;beer/kebab/ketchup/
168;14:28:40;14:32:14;14:34:06;00:03:34;00:01:52;kebab2;beer/coke/
169;14:29:19;14:32:14;14:33:08;00:02:55;00:00:54;kebab2;beer/coke/durum/ketchup/
170;14:30:13;14:38:50;14:39:13;00:08:37;00:00:23;kebab2;beer/
171;14:38:50;14:42:28;14:44:34;00:03:38;00:02:06;kebab2;beer/durum/extra_fries/mayo/
172;14:42:28;14:43:58;14:44:07;00:01:30;00:00:09;kebab2;still_water/
173;14:43:58;14:44:22;14:44:43;00:00:24;00:00:21;kebab2;beer/coke/turkish_coffee/kebab/kebab_vegi/durum/extra_fries/mayo/
174;14:44:22;14:45:13;14:47:26;00:00:51;00:02:13;kebab2;beer/still_water/turkish_coffee/kebab/garlic_sauce/
175;14:45:13;14:46:28;14:48:19;00:01:15;00:01:51;kebab2;beer/
176;14:46:28;14:47:26;14:48:11;00:00:58;00:00:45;kebab2;beer/
177;14:47:10;14:48:11;14:49:15;00:01:01;00:01:04;kebab2;beer/kebab/durum/mayo/
178;14:48:09;14:48:19;14:49:09;00:00:10;00:00:50;kebab2;beer/mayo/
179;14:48:18;14:49:20;14:50:23;00:01:02;00:01:03;kebab2;beer/
180;14:49:20;14:50:09;14:52:40;00:00:49;00:02:31;kebab2;beer/kebab/kebab_vegi/durum/ketchup/
181;14:50:09;14:51:41;14:53:45;00:01:32;00:02:04;kebab2;beer/kebab/extra_fries/garlic_sauce/
182;14:51:41;14:52:58;14:54:27;00:01:17;00:01:29;kebab2;beer/kebab/durum/extra_fries/mayo/
183;14:52:58;14:53:45;14:54:28;00:00:47;00:00:43;kebab2;beer/coke/kebab/kebab_vegi/
184;14:53:31;14:54:54;14:56:38;00:01:23;00:01:44;kebab2;beer/coke/still_water/turkish_coffee/kebab/
185;14:54:54;14:56:16;14:57:18;00:01:22;00:01:02;kebab2;beer/durum/mayo/
186;14:56:16;14:57:06;15:00:03;00:00:50;00:02:57;kebab2;beer/extra_fries/garlic_sauce/
187;14:57:06;15:00:39;15:00:52;00:03:33;00:00:13;kebab2;coke/
188;15:00:39;15:02:21;15:02:36;00:01:42;00:00:15;kebab2;beer/still_water/kebab/durum/garlic_sauce/
189;15:02:21;15:08:27;15:08:46;00:06:06;00:00:19;kebab2;beer/extra_fries/
190;15:08:27;15:13:44;15:15:44;00:05:17;00:02:00;kebab2;beer/coke/kebab/durum/
191;15:13:44;15:14:02;15:15:37;00:00:18;00:01:35;kebab2;coke/turkish_coffee/kebab/durum/
192;15:14:02;15:18:09;15:19:55;00:04:07;00:01:46;kebab2;beer/ketchup/mayo/
193;15:18:09;15:19:12;15:20:09;00:01:03;00:00:57;kebab2;beer/still_water/kebab/extra_fries/mayo/
194;15:19:12;15:19:59;15:23:10;00:00:47;00:03:11;kebab2;beer/kebab/extra_fries/mayo/
195;15:19:59;15:21:27;15:24:36;00:01:28;00:03:09;kebab2;beer/sparkling_water/kebab/durum/
196;15:21:27;15:24:54;15:28:23;00:03:27;00:03:29;kebab2;still_water/
197;15:24:54;15:29:51;15:32:06;00:04:57;00:02:15;kebab2;coke/still_water/kebab_vegi/mayo/
198;15:29:51;15:31:37;15:32:07;00:01:46;00:00:30;kebab2;beer/turkish_coffee/kebab/kebab_vegi/mayo/
199;15:31:37;15:35:42;15:37:56;00:04:05;00:02:14;kebab2;beer/still_water/turkish_coffee/kebab/mayo/
200;15:35:42;15:40:31;15:41:29;00:04:49;00:00:58;kebab2;beer/kebab/mayo/
201;15:40:31;15:43:25;15:44:53;00:02:54;00:01:28;kebab2;coke/kebab/garlic_sauce/
202;15:43:25;15:45:10;15:46:18;00:01:45;00:01:08;kebab2;beer/coke/kebab/extra_fries/
203;15:45:10;15:50:01;15:51:41;00:04:51;00:01:40;kebab2;beer/turkish_coffee/
204;15:50:01;15:50:41;15:52:57;00:00:40;00:02:16;kebab2;beer/coke/kebab/kebab_vegi/mayo/
205;15:50:41;15:54:58;15:56:34;00:04:17;00:01:36;kebab2;beer/still_water/
206;15:54:58;15:56:40;15:59:33;00:01:42;00:02:53;kebab2;beer/kebab/kebab_vegi/extra_fries/mayo/
207;15:56:40;15:57:19;15:58:18;00:00:39;00:00:59;kebab2;beer/
208;15:57:19;15:58:18;15:59:02;00:00:59;00:00:44;kebab2;beer/kebab_vegi/durum/ketchup/
209;15:57:55;15:59:02;16:01:30;00:01:07;00:02:28;kebab2;beer/kebab/kebab_vegi/mayo/
210;15:59:02;16:00:10;16:01:43;00:01:08;00:01:33;kebab2;beer/kebab/durum/extra_fries/garlic_sauce/
211;16:00:10;16:01:30;16:03:47;00:01:20;00:02:17;kebab2;beer/coke/
212;16:00:44;16:02:16;16:03:14;00:01:32;00:00:58;kebab2;beer/turkish_coffee/kebab/kebab_vegi/durum/extra_fries/
213;16:02:16;16:03:57;16:04:30;00:01:41;00:00:33;kebab2;beer/kebab/ketchup/mayo/
214;16:03:57;16:06:32;16:10:23;00:02:35;00:03:51;kebab2;beer/coke/kebab/durum/garlic_sauce/
215;16:06:32;16:07:57;16:11:09;00:01:25;00:03:12;kebab2;beer/coke/kebab/
216;16:07:57;16:10:36;16:10:49;00:02:39;00:00:13;kebab2;beer/kebab/durum/
217;16:10:36;16:17:45;16:20:00;00:07:09;00:02:15;kebab2;beer/
218;16:17:45;16:22:12;16:24:03;00:04:27;00:01:51;kebab2;beer/kebab/extra_fries/ketchup/
219;16:22:12;16:22:25;16:24:36;00:00:13;00:02:11;kebab2;beer/durum/ketchup/
220;16:22:25;16:24:03;16:24:24;00:01:38;00:00:21;kebab2;still_water/kebab/kebab_vegi/extra_fries/ketchup/mayo/
221;16:23:02;16:26:13;16:26:35;00:03:11;00:00:22;kebab2;beer/coke/
222;16:26:13;16:27:04;16:28:44;00:00:51;00:01:40;kebab2;beer/
223;16:27:04;16:28:31;16:29:43;00:01:27;00:01:12;kebab2;beer/coke/kebab/extra_fries/
224;16:28:31;16:31:20;16:33:02;00:02:49;00:01:42;kebab2;beer/turkish_coffee/
225;16:31:20;16:34:59;16:36:55;00:03:39;00:01:56;kebab2;beer/kebab/mayo/
226;16:34:59;16:37:55;16:38:01;00:02:56;00:00:06;kebab2;beer/kebab/extra_fries/garlic_sauce/
227;16:37:55;16:39:18;16:42:29;00:01:23;00:03:11;kebab2;beer/coke/extra_fries/ketchup/mayo/
228;16:39:18;16:39:30;16:41:14;00:00:12;00:01:44;kebab2;coke/kebab/kebab_vegi/ketchup/
229;16:39:30;16:41:14;16:44:24;00:01:44;00:03:10;kebab2;beer/kebab/durum/extra_fries/garlic_sauce/
230;16:40:07;16:42:29;16:43:30;00:02:22;00:01:01;kebab2;beer/kebab/extra_fries/ketchup/mayo/
231;16:40:34;16:43:30;16:45:47;00:02:56;00:02:17;kebab2;beer/
232;16:41:50;16:47:49;16:50:59;00:05:59;00:03:10;kebab2;beer/
233;16:47:49;16:50:45;16:52:16;00:02:56;00:01:31;kebab2;still_water/
234;16:50:45;16:54:26;16:55:10;00:03:41;00:00:44;kebab2;beer/
235;16:54:26;16:58:37;17:00:45;00:04:11;00:02:08;kebab2;beer/coke/
236;16:58:37;17:00:01;17:00:56;00:01:24;00:00:55;kebab2;beer/
237;17:00:01;17:00:28;17:03:09;00:00:27;00:02:41;kebab2;beer/kebab/kebab_vegi/durum/mayo/
238;17:00:28;17:02:12;17:03:22;00:01:44;00:01:10;kebab2;beer/still_water/turkish_coffee/kebab/durum/extra_fries/garlic_sauce/
239;17:02:12;17:04:54;17:05:41;00:02:42;00:00:47;kebab2;beer/kebab/kebab_vegi/durum/
240;17:04:54;17:07:20;17:08:06;00:02:26;00:00:46;kebab2;beer/
241;17:07:20;17:07:55;17:09:23;00:00:35;00:01:28;kebab2;beer/coke/
242;17:07:55;17:08:01;17:09:31;00:00:06;00:01:30;kebab2;beer/coke/kebab/kebab_vegi/
243;17:08:01;17:08:29;17:08:55;00:00:28;00:00:26;kebab2;beer/kebab/mayo/
244;17:08:29;17:08:55;17:09:03;00:00:26;00:00:08;kebab2;turkish_coffee/kebab/durum/extra_fries/ketchup/mayo/
245;17:08:30;17:09:03;17:09:14;00:00:33;00:00:11;kebab2;beer/
246;17:08:43;17:09:46;17:11:40;00:01:03;00:01:54;kebab2;coke/turkish_coffee/kebab/kebab_vegi/extra_fries/garlic_sauce/
247;17:09:46;17:11:17;17:14:30;00:01:31;00:03:13;kebab2;beer/
248;17:11:17;17:13:09;17:13:44;00:01:52;00:00:35;kebab2;beer/still_water/kebab/kebab_vegi/ketchup/
249;17:13:09;17:13:18;17:14:20;00:00:09;00:01:02;kebab2;coke/kebab/durum/extra_fries/ketchup/
250;17:13:18;17:13:44;17:14:25;00:00:26;00:00:41;kebab2;beer/kebab/
251;17:13:19;17:15:42;17:16:25;00:02:23;00:00:43;kebab2;beer/coke/kebab/durum/extra_fries/garlic_sauce/
252;17:15:42;17:15:47;17:16:36;00:00:05;00:00:49;kebab2;beer/still_water/
253;17:15:47;17:16:10;17:17:02;00:00:23;00:00:52;kebab2;coke/kebab/
254;17:16:10;17:16:25;17:18:00;00:00:15;00:01:35;kebab2;beer/still_water/
255;17:16:24;17:16:45;17:16:58;00:00:21;00:00:13;kebab2;coke/kebab/ketchup/mayo/
256;17:16:45;17:17:46;17:18:23;00:01:01;00:00:37;kebab2;sparkling_water/kebab/durum/garlic_sauce/
257;17:17:46;17:17:55;17:19:09;00:00:09;00:01:14;kebab2;beer/still_water/kebab/ketchup/
258;17:17:55;17:18:00;17:22:05;00:00:05;00:04:05;kebab2;beer/still_water/
259;17:17:58;17:18:44;17:20:53;00:00:46;00:02:09;kebab2;coke/kebab/durum/ketchup/
260;17:18:44;17:19:09;17:21:18;00:00:25;00:02:09;kebab2;coke/turkish_coffee/
261;17:18:47;17:20:53;17:21:48;00:02:06;00:00:55;kebab2;beer/kebab/extra_fries/
